artist_name,id,track_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Daniel Tidwell,0e9hR1vTrzlUvFH5PgA9rY,Very Bloody Tears (Castlevania II: Simon's Quest),Versus Video Games,0.492,0.97,4,-5.677,0,0.0554,9.65e-06,0.891,0.162,0.556,120.005,4,46,japanese_vgm otacore scorecore,36,"['japanese_vgm', 'otacore', 'scorecore']",high,Negative
Kaleptik,7dkbEHIMLoeuG4zXGmzhEH,U.N. Owen Was Her? (Remix),"Video Game Remixes, Vol. 1",0.493,0.969,2,-3.282,0,0.0463,0.201,0.655,0.247,0.34,170.581,4,35,otacore,36,['otacore'],low,Neutral
Ben Foster,7nZnCjIJ8JigdMqJ36yRRm,I am the Doctor in Utah,Doctor Who: Series 6 (Original Television Soundtrack),0.536,0.458,2,-9.906,0,0.0385,0.893,0.495,0.106,0.259,170.113,1,35,british_soundtrack theme,17,"['british_soundtrack', 'theme']",low,Neutral
Leslie Odom Jr.,2TK2KSrzXD6W01qjXVjNGh,The Room Where It Happens,Hamilton,0.638,0.49,4,-9.382,0,0.426,0.271,0.0,0.664,0.511,173.552,4,75,broadway hollywood show_tunes vocal_jazz,69,"['broadway', 'hollywood', 'show_tunes', 'vocal_jazz']",low,Neutral
Christopher Jackson,3nJYcY9yvKP8Oi2Ml8brXt,Right Hand Man,Hamilton,0.68,0.413,8,-9.41,1,0.492,0.177,0.0,0.205,0.383,158.576,4,77,hollywood show_tunes,68,"['hollywood', 'show_tunes']",high,Positive
Leslie Odom Jr.,4TTV7EcfroSLWzXRY6gLv6,Alexander Hamilton,Hamilton,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,4,75,broadway hollywood show_tunes vocal_jazz,73,"['broadway', 'hollywood', 'show_tunes', 'vocal_jazz']",low,Neutral
Lin-Manuel Miranda,4cxvludVmQxryrnx1m9FqL,My Shot,Hamilton,0.698,0.649,8,-6.764,1,0.415,0.15,0.0,0.0903,0.568,180.466,4,77,hollywood show_tunes,72,"['hollywood', 'show_tunes']",low,Neutral
Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,Stairway To Heaven,Led Zeppelin IV,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4,80,album_rock classic_rock hard_rock rock,81,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",low,Neutral
Collective Soul,1HZ3cUZUw5htSFmah1V8Ko,Shine,"Hints, Allegations & Things Left Unsaid",0.54,0.423,6,-8.799,1,0.0283,0.294,0.0884,0.152,0.353,150.135,4,64,alternative_metal alternative_rock pop_rock post-grunge rock,0,"['alternative_metal', 'alternative_rock', 'pop_rock', 'post-grunge', 'rock']",low,Neutral
Nightwish,43pmQcgxMMhJu1gPW2ZdNz,Ghost Love Score,Once,0.444,0.793,5,-5.326,0,0.0377,0.0107,0.000769,0.184,0.208,101.012,3,68,finnish_metal finnish_power_metal gothic_metal gothic_symphonic_metal opera_metal power_metal symphonic_metal,0,"['finnish_metal', 'finnish_power_metal', 'gothic_metal', 'gothic_symphonic_metal', 'opera_metal', 'power_metal', 'symphonic_metal']",high,Positive
Seal,6Vz7vzOpCwKeSQlfViibuY,Crazy,Best 1991 - 2004,0.633,0.858,11,-7.42,0,0.0473,0.208,0.0112,0.0655,0.724,102.561,4,67,british_soul soft_rock,66,"['british_soul', 'soft_rock']",high,Negative
The Rolling Stones,4sFbojhVXQv7dBC9PVCcRn,Sympathy For The Devil,Beggars Banquet,0.566,0.673,9,-10.814,1,0.306,0.565,1.13e-06,0.0438,0.583,114.385,4,81,british_invasion classic_rock rock,1,"['british_invasion', 'classic_rock', 'rock']",low,Neutral
The Rolling Stones,1dv3ePjze9tPq2pk8eWJdR,Gimme Shelter,Let It Bleed,0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,4,81,british_invasion classic_rock rock,0,"['british_invasion', 'classic_rock', 'rock']",low,Neutral
Lynyrd Skynyrd,5EWPGh7jbTNO2wakv8LjUI,Free Bird,Pronounced' Leh-'Nerd 'Skin-'Nerd,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,4,74,album_rock blues_rock classic_rock country_rock hard_rock mellow_gold rock southern_rock,76,"['album_rock', 'blues_rock', 'classic_rock', 'country_rock', 'hard_rock', 'mellow_gold', 'rock', 'southern_rock']",high,Positive
Boston,1GqlvSEtMx5xbGptxOTTyk,Peace of Mind,Boston,0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,4,68,album_rock classic_rock country_rock hard_rock mellow_gold rock soft_rock,70,"['album_rock', 'classic_rock', 'country_rock', 'hard_rock', 'mellow_gold', 'rock', 'soft_rock']",low,Neutral
Boston,39C5FuZ8C8M0QI8CrMsPkR,Foreplay / Long Time,Boston,0.435,0.657,5,-8.868,1,0.0545,0.00983,0.00748,0.0923,0.209,118.704,4,68,album_rock classic_rock country_rock hard_rock mellow_gold rock soft_rock,66,"['album_rock', 'classic_rock', 'country_rock', 'hard_rock', 'mellow_gold', 'rock', 'soft_rock']",high,Negative
Toto,4aVuWgvD0X63hcOCnZtNFA,Hold the Line,Toto,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,4,74,album_rock classic_rock mellow_gold rock soft_rock yacht_rock,79,"['album_rock', 'classic_rock', 'mellow_gold', 'rock', 'soft_rock', 'yacht_rock']",low,Neutral
Kansas,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Leftoverture,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4,68,album_rock art_rock classic_rock hard_rock heartland_rock mellow_gold progressive_rock rock soft_rock symphonic_rock,77,"['album_rock', 'art_rock', 'classic_rock', 'hard_rock', 'heartland_rock', 'mellow_gold', 'progressive_rock', 'rock', 'soft_rock', 'symphonic_rock']",low,Neutral
Queen,1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,A Night At The Opera,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,4,88,classic_rock glam_rock rock,1,"['classic_rock', 'glam_rock', 'rock']",low,Neutral
Lynyrd Skynyrd,4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama,Second Helping,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,4,74,album_rock blues_rock classic_rock country_rock hard_rock mellow_gold rock southern_rock,1,"['album_rock', 'blues_rock', 'classic_rock', 'country_rock', 'hard_rock', 'mellow_gold', 'rock', 'southern_rock']",high,Positive
Boston,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4,68,album_rock classic_rock country_rock hard_rock mellow_gold rock soft_rock,80,"['album_rock', 'classic_rock', 'country_rock', 'hard_rock', 'mellow_gold', 'rock', 'soft_rock']",high,Positive
Led Zeppelin,2nVHqZbOGkKWzlcy1aMbE7,Kashmir,Physical Graffiti,0.48,0.536,2,-11.166,1,0.0427,0.488,4.22e-05,0.155,0.581,80.617,3,80,album_rock classic_rock hard_rock rock,8,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",low,Neutral
Ben Foster,6MpMuAuLzFFfwB8QzWL1iZ,The Majestic Tale (Of A Madman In A Box),Doctor Who: Series 6 (Original Television Soundtrack),0.363,0.554,2,-10.784,0,0.0317,0.0885,0.973,0.261,0.408,72.429,1,35,british_soundtrack theme,23,"['british_soundtrack', 'theme']",low,Neutral
Guns N' Roses,7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Appetite For Destruction,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,4,81,glam_metal hard_rock rock,83,"['glam_metal', 'hard_rock', 'rock']",high,Positive
Creedence Clearwater Revival,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Willy And The Poor Boys,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4,79,album_rock classic_rock country_rock rock southern_rock swamp_rock,82,"['album_rock', 'classic_rock', 'country_rock', 'rock', 'southern_rock', 'swamp_rock']",high,Positive
Scorpions,0XIvZ82aDF7JiSi3ZE320u,Rock You Like A Hurricane,Love At First Sting,0.482,0.601,7,-12.846,1,0.0486,0.00853,0.000187,0.249,0.774,125.619,4,75,album_rock german_hard_rock german_metal german_rock hard_rock metal rock,0,"['album_rock', 'german_hard_rock', 'german_metal', 'german_rock', 'hard_rock', 'metal', 'rock']",low,Neutral
Rush,3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Moving Pictures,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,4,68,album_rock art_rock canadian_metal classic_canadian_rock classic_rock hard_rock metal progressive_rock rock,73,"['album_rock', 'art_rock', 'canadian_metal', 'classic_canadian_rock', 'classic_rock', 'hard_rock', 'metal', 'progressive_rock', 'rock']",low,Neutral
